,precision,recall,f1-score,support,Timestamp
3,0.8900883218842002,0.907,0.8984645864289252,1000.0,09102024_123008
4,0.8471074380165289,0.82,0.8333333333333334,1000.0,09102024_123008
5,0.9876160990712074,0.957,0.9720670391061452,1000.0,09102024_123008
6,0.7387387387387387,0.656,0.6949152542372882,1000.0,09102024_123008
7,0.9232954545454546,0.975,0.9484435797665368,1000.0,09102024_123008
8,0.9644268774703556,0.976,0.9701789264413518,1000.0,09102024_123008
9,0.9744637385086824,0.954,0.9641232945932288,1000.0,09102024_123008
accuracy,0.8967,0.8967,0.8967,0.8967,09102024_123008
macro avg,0.8965896511646845,0.8967,0.8959295971793976,10000.0,09102024_123008
weighted avg,0.8965896511646845,0.8967,0.8959295971793974,10000.0,09102024_123008
0,0.8114233907524931,0.895,0.8511650023775559,1000.0,09102024_123143
1,0.9979445015416238,0.971,0.9842878864673088,1000.0,09102024_123143
2,0.8350810295519543,0.876,0.8550512445095169,1000.0,09102024_123143
3,0.9000989119683481,0.91,0.905022376926902,1000.0,09102024_123143
4,0.8179271708683473,0.876,0.8459681313375181,1000.0,09102024_123143
5,0.9713438735177866,0.983,0.9771371769383698,1000.0,09102024_123143
6,0.777363184079602,0.625,0.6929046563192904,1000.0,09102024_123143
7,0.9482587064676616,0.953,0.9506234413965088,1000.0,09102024_123143
8,0.985699693564862,0.965,0.9752400202122284,1000.0,09102024_123143
9,0.9657603222557906,0.959,0.9623682890115404,1000.0,09102024_123143
accuracy,0.9013,0.9013,0.9013,0.9013,09102024_123143
macro avg,0.9010900784568472,0.9013,0.8999768225496739,10000.0,09102024_123143
weighted avg,0.901090078456847,0.9013,0.8999768225496738,10000.0,09102024_123143
0,0.8199052132701422,0.865,0.8418491484184915,1000.0,09102024_123309
1,0.997948717948718,0.973,0.9853164556962024,1000.0,09102024_123309
2,0.8025134649910234,0.894,0.8457899716177862,1000.0,09102024_123309
3,0.916754478398314,0.87,0.8927655207798871,1000.0,09102024_123309
4,0.8487394957983193,0.808,0.8278688524590164,1000.0,09102024_123309
5,0.9988662131519276,0.881,0.9362380446333688,1000.0,09102024_123309
6,0.7122844827586207,0.661,0.6856846473029046,1000.0,09102024_123309
7,0.8844404003639672,0.972,0.9261553120533588,1000.0,09102024_123309
8,0.9588638589618022,0.979,0.9688273132112816,1000.0,09102024_123309
9,0.9453658536585364,0.969,0.957037037037037,1000.0,09102024_123309
accuracy,0.8872,0.8872,0.8872,0.8872,09102024_123309
macro avg,0.8885682179301371,0.8872,0.8867532303209333,10000.0,09102024_123309
weighted avg,0.8885682179301372,0.8872,0.8867532303209334,10000.0,09102024_123309
0,0.8522267206477733,0.842,0.8470824949698189,1000.0,09102024_123444
1,0.9908536585365854,0.975,0.9828629032258064,1000.0,09102024_123444
2,0.8466796875,0.867,0.8567193675889329,1000.0,09102024_123444
3,0.8691588785046729,0.93,0.8985507246376812,1000.0,09102024_123444
4,0.8544891640866873,0.828,0.8410360589131539,1000.0,09102024_123444
5,0.9732673267326732,0.983,0.9781094527363184,1000.0,09102024_123444
